Record ID,First Name,Last Name,Email,Collect Date,Loc_City,Loc_Country,Loc_Lat_Lon,Institution Type,Institution,Department,Job Title,Phone,Website,Industry,Tech
SAPNG_NETWORK,TaShya,Williamson,ut@feugiatnon.net,JunJun/ThuThu/2017201720172017,Margate,Indonesia,"-26.93468, -85.5037",Startup,Sapien Aenean Massa Consulting,Finances,Developer,1-884-272-6825,metus.,Sports,Others
SAPNG_NETWORK,Omar,Simpson,pretium@et.com,JanJan/ThuThu/2018201820182018,Scala Coeli,Afghanistan,"-15.62987, -52.12545",Corporation,Nunc Sit Amet Industries,Customer Service,Product Manager,1-581-827-5996,"accumsan sed, facilisis vitae,",WOMEN,IOT
SAPNG_NETWORK,Kellie,Galloway,nec@Duisac.com,JanJan/TueTue/2018201820182018,Glovertown,Macao,"51.6763, -24.32042",,Neque PC,Finances,Developer,1-740-140-4103,tellus,Purpose Driven Innovation,Others
SAPNG_NETWORK,Igor,Good,sodales@Nuncullamcorpervelit.com,JulJul/SunSun/2017201720172017,Langenhagen,Algeria,"-51.33301, -44.62581",Startup,Dui Nec Tempus Foundation,Legal Department,Designer,1-824-474-9005,"auctor, nunc nulla",Life Sciences,Machine Learning
SAPNG_NETWORK,Chester,Small,Etiam.imperdiet.dictum@sociis.org,SepSep/MonMon/2017201720172017,Gillette,Madagascar,"-19.31486, -157.82704",University,Augue Eu PC,Payroll,Manager,1-580-939-5789,dictum augue malesuada malesuada. Integer,Higher Ed & Research,Machine Learning
SAPNG_NETWORK,Audrey,Allen,nibh.lacinia@metusIn.com,OctOct/WedWed/2017201720172017,Bauchi,Congo (Brazzaville),"-68.28547, -142.80808",Corporation,Quisque Fringilla Euismod Institute,Advertising,Designer,1-370-418-1523,"odio, auctor vitae,",HR,Machine Learning
SAPNG_NETWORK,Odessa,Key,Donec@euenimEtiam.org,AugAug/SatSat/2017201720172017,San Vito al Tagliamento,Turks and Caicos Islands,"25.97008, 99.94537",Startup,Senectus Et Netus LLC,Customer Relations,Other,1-750-704-2701,Nulla aliquet. Proin velit. Sed,Aerospace,
SAPNG_NETWORK,Kelsie,Duke,risus.Duis.a@dictum.org,JulJul/TueTue/2017201720172017,Gillette,Åland Islands,"-47.08406, 64.88334",Startup,A Purus Duis Inc.,Research and Development,Other,1-416-105-4346,vel est tempor bibendum. Donec,Blockchain,Machine Learning
SAPNG_NETWORK,Iona,Peterson,mauris@eu.co.uk,MayMay/WedWed/2017201720172017,Meeswijk,Barbados,"33.94669, 111.80563",Startup,At Industries,Payroll,Manager,1-272-763-9330,Nulla facilisi. Sed neque.,Life Sciences,Others
SAPNG_NETWORK,Naomi,Boyd,In.at@eutelluseu.com,DecDec/FriFri/2017201720172017,Ludlow,Montserrat,"-89.56771, -101.33626",,Elementum Dui Quis Incorporated,Payroll,Product Manager,1-405-543-8311,mauris a nunc. In at,Engineering Construction & Operations,IOT
SAPNG_NETWORK,Colt,Wynn,et.ultrices@aultriciesadipiscing.ca,JunJun/WedWed/2017201720172017,La Baie,Georgia,"48.05293, -158.88644",Corporation,Nisi LLC,Customer Service,Other,1-616-404-3904,"faucibus leo, in",Robotics,Others
SAPNG_NETWORK,Tanner,Simpson,ipsum@velarcu.net,DecDec/SunSun/2017201720172017,Naninne,Venezuela,"-26.12517, -65.36295",Startup,Penatibus Et Limited,Public Relations,Designer,1-910-165-6411,quam vel,Public Sector,Machine Learning
SAPNG_NETWORK,Stuart,Harrell,euismod.urna.Nullam@euelitNulla.co.uk,JanJan/TueTue/2018201820182018,Canmore,Svalbard and Jan Mayen Islands,"-87.5239, -79.93447",Corporation,Aliquam Nec Inc.,Research and Development,Developer,1-222-846-2811,"libero et tristique pellentesque,",Retail,
SAPNG_NETWORK,Kirestin,Mayo,vitae.dolor@Donecluctusaliquet.edu,AugAug/FriFri/2017201720172017,Aserrí,Bolivia,"14.23394, -145.24835",,Tellus Sem LLP,Finances,Developer,1-817-667-8183,Maecenas malesuada fringilla est.,Life Sciences,Machine Learning
SAPNG_NETWORK,Bree,Calderon,Nunc@tempor.org,MayMay/TueTue/2017201720172017,Neustrelitz,Northern Mariana Islands,"33.80358, -167.14197",,Odio Corp.,Advertising,Product Manager,1-724-363-2384,et,Entertainment,Others
