Record ID,First Name,Last Name,Email,Collect Date,Loc_City,Loc_Country,Loc_Lat_Lon,Institution Type,Institution,Department,Job Title,Phone,Website,Industry,Tech
1,Alice,Ashley,vitae@sollicitudina.net,07/31/2017,Terragnolo,New Caledonia,"-58.79275, 49.82127",Startup,At Risus Nunc Industries,Advertising,Designer,1-364-251-6886,"purus, in molestie tortor nibh sit amet",Virtual Reality,Others
2,Shaine,Mcclure,sem@egetmetuseu.edu,01/11/2018,Corroy-le-Ch‰teau,"Saint Helena, Ascension and Tristan da Cunha","-62.88577, 139.27195",Startup,Pede PC,Asset Management,Product Manager,1-985-616-7328,consequat dolor vitae dolor. Donec fringilla.,Purpose Driven Innovation,IOT
3,Sybil,Fuentes,posuere@vestibulumnec.ca,10/11/2017,Bionaz,Indonesia,"88.10737, -29.4685",University,Faucibus Morbi Vehicula PC,Human Resources,Product Manager,1-366-812-7503,"nunc nulla vulputate dui, nec tempus mauris",High Tech,Others
4,Philip,Beach,risus.odio.auctor@duiFuscealiquam.org,10/28/2017,Pincher Creek,Saint Martin,"35.84506, 45.12037",Others,Neque Foundation,Tech Support,Product Manager,1-719-651-0834,aliquet. Proin velit. Sed,Mahine Learning,IOT
5,Uma,Lopez,est.mauris.rhoncus@arcu.edu,01/19/2018,Imperatriz,Falkland Islands,"-32.79226, -179.16581",Corporation,Enim Nisl Corp.,Human Resources,Manager,1-891-575-6245,vehicula aliquet libero.,Utilities,Machine Learning
6,Logan,Arnold,ut@senectuset.co.uk,07/19/2017,Dolgellau,Syria,"3.03038, 165.04751",Others,Egestas Limited,Sales and Marketing,Manager,1-493-137-4942,egestas nunc sed libero. Proin,Purpose Driven Innovation,Machine Learning
7,Naida,Gill,neque@Aliquamnec.edu,12/03/2017,Mjölby,Saint Martin,"32.33668, -106.41847",Corporation,Lectus Quis Corporation,Tech Support,Developer,1-870-770-4325,"varius orci, in consequat enim diam vel arcu.",Travel and transportation,Machine Learning
8,Alexandra,Burnett,tempus.lorem.fringilla@elitdictum.com,11/21/2017,Bovigny,Cocos (Keeling) Islands,"58.46993, -34.49253",Others,Est Nunc Laoreet Institute,Sales and Marketing,Designer,1-152-221-9060,nec tempus mauris erat,Higher Ed & Research,Machine Learning
9,Chaney,Mcguire,varius@aliquetmagnaa.ca,05/27/2017,Fort William,Czech Republic,"5.04823, 107.17536",University,Morbi Metus Vivamus PC,Human Resources,Product Manager,1-637-140-2932,"aliquam eu, accumsan sed, facilisis",Robotics,IOT
10,Josephine,Bartlett,lorem.fringilla@dolorsitamet.edu,10/08/2017,Lives-sur-Meuse,Japan,"-71.0022, 10.69252",Corporation,Auctor Nunc Nulla Incorporated,Asset Management,Other,1-463-470-2577,"et, commodo at, libero. Morbi accumsan laoreet ipsum.",Engineering Construction & Operations,VR/AR
11,Blythe,Romero,Maecenas.ornare@neque.edu,01/22/2018,Malbaie,Sint Maarten,"-55.93327, 167.66936",Corporation,Ornare Corp.,Legal Department,Developer,1-644-897-5225,et ultrices posuere cubilia,Internet of Things,Machine Learning
12,Jane,Bryant,vulputate@eu.com,05/12/2017,Giardinello,Uganda,"-58.94961, -126.50566",University,Eget Venenatis A Corporation,Customer Relations,Designer,1-113-356-0080,luctus aliquet odio.,Media,Others
13,Lillian,Hopkins,Donec.dignissim.magna@laoreetipsumCurabitur.net,07/11/2017,Pugwash,United Arab Emirates,"-12.44824, 35.28675",Corporation,Nibh Industries,Quality Assurance,Designer,1-930-896-2990,"tellus. Nunc lectus pede, ultrices a, auctor non,",Defense and Security,IOT
14,Lynn,Henry,elit@pedePraesent.com,01/19/2018,Borgomaro,Bhutan,"-76.59912, 169.38875",Corporation,Sit Industries,Finances,Other,1-628-471-7552,"sed sem egestas blandit. Nam nulla magna, malesuada",Internet of Things,Others
