type,properties/Record ID,properties/First Name,properties/Last Name,properties/Email,properties/Collect Date,properties/Loc_City,properties/Loc_Country,properties/Loc_Lat_Lon,properties/Institution Type,properties/Institution,properties/Department,properties/Job Title,properties/Phone,properties/Website,properties/Industry,properties/Tech,properties/Radius,geometry/type,geometry/coordinates/0,geometry/coordinates/1
Feature,1,Christian,Page,leo.Morbi@consectetuer.co.uk,9/3/17,Grave,Turkmenistan,"-41.84211, -101.91328",University,Iaculis Odio Nam Foundation,Sales and Marketing,Designer,1-365-944-9472,Nullam lobortis quam a,High Tech,VR/AR,1,Point,38.969719,59.556278
Feature,2,Hollee,Mccullough,ut@ullamcorpereu.com,6/15/17,Vannes,Syria,"-57.7612, -44.43785",Startup,Luctus Consulting,Media Relations,Other,1-922-547-6780,accumsan neque et nunc. Quisque ornare tortor,Life Sciences,VR/AR,1,Point,34.80207499999999,38.996815
Feature,3,Keely,Cohen,felis.Donec@sitametlorem.edu,7/11/17,Shipshaw,Montserrat,"-83.97251, 98.15284",University,Turpis Vitae LLP,Quality Assurance,Designer,1-731-648-9595,ultricies dignissim lacus. Aliquam,Virtual Reality,Machine Learning,1,Point,16.742498,-62.187366
Feature,4,Donna,Morse,nonummy.ac.feugiat@libero.net,12/14/17,Traiskirchen,Poland,"36.52906, 127.11797",Others,Vitae Odio Sagittis LLC,Legal Department,Other,1-775-611-1140,aliquet libero. Integer in magna. Phasellus dolor,HR,VR/AR,3,Point,51.919438,19.145136
Feature,5,Leilani,Moss,Quisque.porttitor.eros@Inornare.net,12/6/17,ConcepciÃ³n,Paraguay,"75.27822, 103.5011",Others,Rutrum Industries,Sales and Marketing,Designer,1-749-599-6179,pharetra. Nam ac nulla.,Media,IOT,1,Point,-23.442503,-58.443832
Feature,6,Hollee,Hebert,aliquet.libero.Integer@nonnisiAenean.co.uk,5/31/17,Lille,"Virgin Islands, British","85.93611, -171.97582",University,Tincidunt Pede PC,Public Relations,Manager,1-976-288-6472,"quis massa. Mauris vestibulum, neque sed dictum eleifend,",Mill Products,Machine Learning,3,Point,18.420695,-64.639968
Feature,7,Anjolie,Morse,feugiat.metus.sit@lobortisquis.edu,5/18/17,Archennes,Belarus,"-48.93453, 141.05851",Startup,Donec PC,Media Relations,Product Manager,1-758-497-2266,"montes, nascetur ridiculus mus. Donec",CIOs,Others,2,Point,53.709807,27.953389
Feature,8,Margaret,Pace,aliquam@sedest.org,9/11/17,Mysore,Bulgaria,"-22.004, -76.55014",Corporation,Mus LLP,Accounting,Other,1-193-455-2390,Duis gravida. Praesent eu nulla at sem molestie,Industrial Machinery & Components,Machine Learning,3,Point,42.733883,25.48583
Feature,9,Odessa,Hurst,Duis.ac@magnisdis.edu,9/20/17,Chaudfontaine,Russian Federation,"-65.5252, -140.00111",Startup,Magna A Inc.,Research and Development,Developer,1-408-686-1535,molestie tellus. Aenean egestas hendrerit,Robotics,IOT,3,Point,61.52401,105.318756
Feature,10,Fatima,Walsh,elementum.lorem.ut@tincidunt.net,9/27/17,Broken Hill,Guernsey,"31.92417, 42.19359",Others,Neque Company,Tech Support,Developer,1-143-652-7183,at augue id ante dictum cursus. Nunc,Internet of Things,Others,2,Point,49.465691,-2.585278
Feature,11,Rachel,Chang,Donec@at.org,7/11/17,Gistel,China,"-74.73461, 49.63904",University,Ullamcorper LLP,Advertising,Developer,1-451-227-4277,"Quisque libero lacus, varius",Utilities,IOT,2,Point,35.86166,104.195397
Feature,12,Honorato,Day,Cras.interdum.Nunc@vulputate.com,1/25/18,Springfield,Kenya,"-23.12018, 124.16903",Corporation,Ullamcorper Limited,Accounting,Other,1-155-999-6239,augue ut lacus.,Higher Ed & Research,Others,3,Point,-0.023559,37.906193
Feature,13,Xandra,Young,ac@pedeSuspendissedui.ca,6/22/17,Forres,Kazakhstan,"1.64379, -94.05568",Corporation,Tincidunt Inc.,Research and Development,Product Manager,1-254-990-2472,volutpat nunc sit amet metus.,Utilities,Others,2,Point,48.019573,66.923684
Feature,14,Callie,Potts,tincidunt@molestietellus.org,7/9/17,Kempten,Yemen,"-20.85188, 125.15395",Startup,Vitae Ltd,Public Relations,Designer,1-388-959-0687,"auctor ullamcorper, nisl arcu iaculis enim, sit",CIOs,Others,2,Point,15.552727,48.516388
Feature,15,Sacha,Bonner,Maecenas@consectetuercursus.co.uk,5/27/17,Montemilone,Cook Islands,"30.36316, -158.30697",Startup,Vitae Aliquam PC,Media Relations,Designer,1-378-586-2018,nulla at sem,Engineering Construction & Operations,VR/AR,1,Point,-21.236736,-159.777671
Feature,16,Inez,Cross,Sed.congue.elit@sitamet.co.uk,5/19/17,Wha Ti,Mali,"65.05744, 55.06033",Others,Fermentum Risus Consulting,Customer Relations,Other,1-537-340-6642,"Nam ligula elit, pretium et, rutrum non, hendrerit",Robotics,Machine Learning,1,Point,17.570692,-3.996166
